"PHEC_result_ID","PHEC_information_types_ID","information_types"
"1","1","Official statistics"
"2","1","Official statistics"
"3","1","Official statistics"
"4","1","Official statistics"
"5","1","Official statistics"
"6","1","Official statistics"
"7","1","Official statistics"
"8","1","Official statistics"
"9","1","Official statistics"
"10","1","Official statistics"
"11","1","Official statistics"
"12","1","Official statistics"
"13","1","Official statistics"
"14","1","Official statistics"
"15","1","Official statistics"
"16","1","Official statistics"
"17","1","Official statistics"
"18","1","Official statistics"
"19","1","Official statistics"
"20","1","Official statistics"
"21","1","Official statistics"
"22","1","Official statistics"
"23","1","Official statistics"
"24","1","Official statistics"
"25","1","Official statistics"
"26","1","Official statistics"
"27","1","Official statistics"
"28","1","Official statistics"
"29","1","Official statistics"
"30","1","Official statistics"
"31","1","Official statistics"
"32","1","Official statistics"
"33","1","Official statistics"
"34","1","Official statistics"
"35","1","Official statistics"
"36","1","Official statistics"
"37","1","Official statistics"
"38","1","Official statistics"
"39","1","Official statistics"
"40","1","Official statistics"
"41","1","Official statistics"
"42","1","Official statistics"
"43","1","Official statistics"
"44","1","Official statistics"
"45","1","Official statistics"
"46","1","Survey|0/Official statistics"
"47","1","Official statistics"
"48","1","Survey|0/Official statistics"
"49","1","Survey|0/Official statistics"
"50","1","Official statistics"
"51","1","Survey|0/Official statistics"
"52","1","Official statistics"
"53","1","Official statistics"
"54","1","Survey|0/Official statistics"
"55","1","Official statistics"
"56","1","Official statistics"
"57","1","Survey|0/Official statistics"
"58","1","Official statistics"
"59","1","Official statistics"
"60","1","Survey|0/Official statistics"
"61","1","Official statistics"
"62","1","Official statistics"
"63","1","Survey|0/Official statistics"
"64","1","Official statistics"
"65","1","Official statistics"
"66","1","Survey|0/Official statistics"
"67","1","Official statistics"
"68","1","Official statistics"
"69","1","Official statistics"
"70","1","Official statistics"
"71","1","Survey|0/Official statistics"
"72","1","Official statistics"
"73","1","Survey|0/Official statistics"
"74","1","Survey|0/Official statistics"
"75","1","Survey|0/Official statistics"
"76","1","Official statistics"
"77","1","Survey|0/Official statistics"
"78","1","Official statistics"
"79","1","Official statistics"
"80","1","Survey|0/Official statistics"
"81","1","Survey|0/Official statistics"
"82","1","Official statistics"
"83","1","Survey|0/Official statistics"
"84","1","Official statistics"
"85","1","Official statistics"
"86","1","Survey|0/Official statistics"
"87","1","Official statistics"
"88","1","Official statistics"
"89","1","Official statistics"
"90","1","Official statistics"
"91","1","Official statistics"
"92","1","Official statistics"
"93","1","Official statistics"
"94","1","Official statistics"
"95","1","Official statistics"
"96","1","Official statistics"
"97","1","Official statistics"
"98","1","Official statistics"
"99","1","Official statistics"
"100","1","Official statistics"
"101","1","Official statistics"
"102","1","Official statistics"
"103","1","Official statistics"
"104","1","Official statistics"
"105","1","Official statistics"
"106","1","Official statistics"
"107","1","Official statistics"
"108","1","Official statistics"
"109","1","Official statistics"
"110","1","Official statistics"
"111","1","Official statistics"
"112","1","Official statistics"
"113","1","Official statistics"
"114","1","Survey|0/Official statistics"
"115","1","Official statistics"
"116","1","Official statistics"
"117","1","Survey|0/Official statistics"
"118","1","Official statistics"
"119","1","Official statistics"
"120","1","Survey|0/Official statistics"
"121","1","Official statistics"
"122","1","Official statistics"
"123","1","Official statistics"
"124","1","Official statistics"
"125","1","Official statistics"
"126","1","Official statistics"
"127","1","Survey|0/Official statistics"
"128","1","Official statistics"
"129","1","Official statistics"
"130","1","Official statistics"
"131","1","Survey|0/Official statistics"
"132","1","Official statistics"
"133","1","Official statistics"
"134","1","Official statistics"
"135","1","Official statistics"
"136","1","Official statistics"
"137","1","Official statistics"
"138","1","Official statistics"
"139","1","Official statistics"
"140","1","Official statistics"
"141","1","Official statistics"
"142","1","Official statistics"
"143","1","Official statistics"
"144","1","Official statistics"
"145","1","Official statistics"
"146","1","Official statistics"
"147","1","Official statistics"
"148","1","Official statistics"
"149","1","Official statistics"
"150","1","Official statistics"
"151","1","Official statistics"
"152","1","Official statistics"
"153","1","Official statistics"
"154","1","Official statistics"
"155","1","Survey|0/Official statistics"
"156","1","Survey|0/Official statistics"
"157","1","Official statistics"
"158","1","Official statistics"
"159","1","Official statistics"
"160","1","Official statistics"
"161","1","Official statistics"
"162","1","Official statistics"
"163","1","Official statistics"
"164","1","Official statistics"
"165","1","Official statistics"
"166","1","Official statistics"
"167","1","Official statistics"
"168","1","Official statistics"
"169","1","Official statistics"
"170","1","Official statistics"
"171","1","Official statistics"
"172","1","Official statistics"
"173","1","Official statistics"
"174","1","Official statistics"
"175","1","Official statistics"
"176","1","Official statistics"
"177","1","Official statistics"
"178","1","Official statistics"
"179","1","Official statistics"
"180","1","Official statistics"
"181","1","Official statistics"
"182","1","Official statistics"
"183","1","Official statistics"
"184","1","Official statistics"
"185","1","Official statistics"
"186","1","Official statistics"
"187","1","Official statistics"
"188","1","Official statistics"
"189","1","Official statistics"
"190","1","Official statistics"
"191","1","Survey|0/Official statistics"
"192","1","Official statistics"
"193","1","Official statistics"
"194","1","Official statistics"
"195","1","Official statistics"
"196","1","Survey|0/Official statistics"
"197","1","Official statistics"
"198","1","Official statistics"
"199","1","Official statistics"
"200","1","Official statistics"
"201","1","Official statistics"
"202","1","Survey|0/Official statistics"
"203","1","Official statistics"
"204","1","Official statistics"
"205","1","Official statistics"
"206","1","Official statistics"
"207","1","Official statistics"
"208","1","Official statistics"
"209","1","Official statistics"
"210","1","Official statistics"
"211","1","Official statistics"
"212","1","Official statistics"
"213","1","Official statistics"
"214","1","Survey|0/Official statistics"
"215","1","Official statistics"
"216","1","Survey|0/Official statistics"
"217","1","Survey|0/Official statistics"
"218","1","Official statistics"
"219","1","Official statistics"
"220","1","Survey|0/Official statistics"
"221","1","Official statistics"
"222","1","Official statistics"
"223","1","Survey|0/Official statistics"
"224","1","Official statistics"
"225","1","Official statistics"
"226","1","Survey|0/Official statistics"
"227","1","Official statistics"
"228","1","Survey|0/Official statistics"
"229","1","Official statistics"
"230","1","Official statistics"
"231","1","Survey|0/Official statistics"
"232","1","Official statistics"
"233","1","Official statistics"
"234","1","Survey|0/Official statistics"
"235","1","Survey|0/Official statistics"
"236","1","Official statistics"
"237","1","Official statistics"
"238","1","Official statistics"
"239","1","Official statistics"
"240","1","Official statistics"
"241","1","Official statistics"
"242","1","Official statistics"
"243","1","Official statistics"
"244","1","Official statistics"
"245","1","Official statistics"
"246","1","Official statistics"
"247","1","Official statistics"
"248","1","Official statistics"
"249","1","Official statistics"
"250","1","Official statistics"
"251","1","Official statistics"
"252","1","Official statistics"
"253","1","Official statistics"
"254","1","Official statistics"
"255","1","Official statistics"
"256","1","Official statistics"
"257","1","Official statistics"
"258","1","Official statistics"
"259","1","Official statistics"
"260","1","Official statistics"
"261","1","Official statistics"
"262","1","Official statistics"
"263","1","Official statistics"
"264","1","Official statistics"
"265","1","Official statistics"
"266","1","Official statistics"
"267","1","Official statistics"
"268","1","Official statistics"
"269","1","Official statistics"
"270","1","Official statistics"
"271","1","Official statistics"
"272","1","Official statistics"
"273","1","Official statistics"
"274","1","Official statistics"
"275","1","Official statistics"
"276","1","Official statistics"
"277","1","Official statistics"
"278","1","Official statistics"
"279","1","Official statistics"
"280","1","Official statistics"
"281","1","Official statistics"
"282","1","Official statistics"
"283","1","Official statistics"
"284","1","Official statistics"
"285","1","Official statistics"
"286","1","Official statistics"
"287","1","Official statistics"
"288","1","Official statistics"
"289","1","Official statistics"
"290","1","Official statistics"
"291","1",""
"292","1","Official statistics"
"293","1","Official statistics"
"294","1","Official statistics"
"295","1","Official statistics"
"296","1","Official statistics"
"297","1","Official statistics"
"298","1","Official statistics"
"299","1","Official statistics"
"300","1","Official statistics"
"301","1","Official statistics"
"302","1","Official statistics"
"303","1","Official statistics"
"304","1","Official statistics"
"305","1","Official statistics"
"306","1","Official statistics"
"307","1","Official statistics"
"308","1","Official statistics"
"309","1","Official statistics"
"310","1","Official statistics"
"311","1","Official statistics"
"312","1","Official statistics"
"313","1","Official statistics"
"314","1","Official statistics"
"315","1","Official statistics"
"316","1","Official statistics"
"317","1","Official statistics"
"318","1","Official statistics"
"319","1","Official statistics"
"320","1","Official statistics"
"321","1","Official statistics"
"322","1","Official statistics"
"323","1","Official statistics"
"324","1","Survey|0/Official statistics"
"325","1","Official statistics"
"326","1","Official statistics"
"327","1","Official statistics"
"328","1","Survey|0/Official statistics"
"329","1","Official statistics"
"330","1","Survey|0/Official statistics"
"331","1","Official statistics"
"332","1","Official statistics"
"333","1","Survey|0/Official statistics"
"334","1","Survey|0/Official statistics"
"335","1","Official statistics"
"336","1","Official statistics"
"337","1","Official statistics"
"338","1","Official statistics"
"339","1","Official statistics"
"340","1","Official statistics"
"341","1","Survey|0/Official statistics"
"342","1","Survey|0/Official statistics"
"343","1","Survey|0/Official statistics"
"344","1","Official statistics"
"345","1","Survey|0/Official statistics"
"346","1","Official statistics"
"347","1","Survey|0/Official statistics"
"348","1","Survey|0/Official statistics"
"349","1","Survey|0/Official statistics"
"350","1","Official statistics"
"351","1","Survey|0/Official statistics"
"352","1","Official statistics"
"353","1","Official statistics"
"354","1","Official statistics"
"355","1","Official statistics"
"356","1","Official statistics"
"357","1","Official statistics"
"358","1","Official statistics"
"359","1","Official statistics"
"360","1","Official statistics"
"361","1","Official statistics"
"362","1","Official statistics"
"363","1","Official statistics"
"364","1","Official statistics"
"365","1","Official statistics"
"366","1","Official statistics"
"367","1","Official statistics"
"368","1","Official statistics"
"369","1","Official statistics"
"370","1","Official statistics"
"371","1","Official statistics"
"372","1","Official statistics"
"373","1","Official statistics"
"374","1","Official statistics"
"375","1","Official statistics"
"376","1","Official statistics"
"377","1","Official statistics"
"378","1","Official statistics"
"379","1","Official statistics"
"380","1","Official statistics"
"381","1","Official statistics"
"382","1","Official statistics"
"383","1","Official statistics"
"384","1","Official statistics"
"385","1","Official statistics"
"386","1","Official statistics"
"387","1","Official statistics"
"388","1","Survey|0/Official statistics"
"389","1","Official statistics"
"390","1","Official statistics"
"391","1","Official statistics"
"392","1","Official statistics"
"393","1","Official statistics"
"394","1","Official statistics"
"395","1","Official statistics"
"396","1","Official statistics"
"397","1","Official statistics"
"398","1","Survey|0/Official statistics"
"399","1","Official statistics"
"400","1","Official statistics"
"401","1","Official statistics"
"402","1","Official statistics"
"403","1","Official statistics"
"404","1","Official statistics"
"405","1","Official statistics"
"406","1","Official statistics"
"407","1","Survey|0/Official statistics"
"408","1","Official statistics"
"409","1","Official statistics"
"410","1","Official statistics"
"411","1","Official statistics"
"412","1","Official statistics"
"413","1","Official statistics"
"414","1","Official statistics"
"415","1","Official statistics"
"416","1","Official statistics"
"417","1","Official statistics"
"418","1","Official statistics"
"419","1","Official statistics"
"420","1","Official statistics"
"421","1","Official statistics"
"422","1","Official statistics"
"423","1","Official statistics"
"424","1","Official statistics"
"425","1","Official statistics"
"426","1","Survey|0/Official statistics"
"427","1","Official statistics"
"428","1","Official statistics"
"429","1","Official statistics"
"430","1","Official statistics"
"431","1","Official statistics"
"432","1","Official statistics"
"433","1","Official statistics"
"434","1","Official statistics"
"435","1","Official statistics"
"436","1","Official statistics"
"437","1","Official statistics"
"438","1","Official statistics"
"439","1","Official statistics"
"440","1","Survey|0/Official statistics"
"441","1","Survey|0/Official statistics"
"442","1","Official statistics"
"443","1","Official statistics"
"444","1","Official statistics"
"445","1","Official statistics"
"446","1","Official statistics"
"447","1","Official statistics"
"448","1","Official statistics"
"449","1","Official statistics"
"450","1","Official statistics"
"451","1","Official statistics"
"452","1","Official statistics"
"453","1","Official statistics"
"454","1","Official statistics"
"455","1","Official statistics"
"456","1","Official statistics"
"457","1","Official statistics"
"458","1","Official statistics"
"459","1","Official statistics"
"460","1","Official statistics"
"461","1","Official statistics"
"462","1","Audit"
"463","1","Audit"
"464","1","Audit"
"465","1","Audit"
"466","1","Audit"
"467","1","Audit"
"468","1","Audit"
"469","1","Audit"
"470","1","Audit"
"471","1","Audit"
"472","1","Audit"
"473","1","Audit"
"474","1","Audit"
"475","1","Audit"
"476","1","Audit"
"477","1","Audit"
"478","1","Audit"
"479","1","Audit"
"480","1","Audit"
"481","1","Audit"
"482","1","Audit"
"483","1","Audit"
"484","1","Audit"
"485","1","Audit"
"486","1","Audit"
"487","1","Audit"
"488","1","Audit"
"489","1","Audit"
"490","1","Audit"
"491","1","Audit"
"492","1","Audit"
"493","1","Audit"
"494","1","Audit"
"495","1","Audit"
"496","1","Audit"
"497","1","Audit"
"498","1","Audit"
"499","1","Audit"
"500","1","Audit"
"501","1","Audit"
"502","1","Audit"
"503","1","Audit"
"504","1","Audit"
"505","1","Audit"
"506","1","Audit"
"507","1","Audit"
"508","1","Audit"
"509","1","Audit"
"510","1","Audit"
"511","1","Audit"
"512","1","Audit"
"513","1","Audit"
"514","1","Official statistics"
"515","1","Audit"
"516","1","Audit"
"517","1","Audit"
"518","1","Audit"
"519","1","Audit"
"520","1","Audit"
"521","1","Official statistics"
"522","1","Audit"
"523","1","Official statistics"
"524","1","Audit"
"525","1","Audit"
"526","1","Official statistics"
"527","1","Official statistics"
"528","1","Official statistics"
"529","1","Survey|0/Official statistics"
"530","1","Official statistics"
"531","1","Official statistics"
"532","1","Official statistics"
"533","1","Official statistics"
"534","1","Official statistics"
"535","1","Official statistics"
"536","1","Official statistics"
"537","1","Official statistics"
"538","1","Survey|0/Official statistics"
"539","1","Official statistics"
"540","1","Official statistics"
"541","1","Official statistics"
"542","1","Official statistics"
"543","1","Official statistics"
"544","1","Official statistics"
"545","1","Official statistics"
"546","1","Official statistics"
"547","1","Official statistics"
"548","1","Survey|0/Official statistics"
"549","1","Official statistics"
"550","1","Official statistics"
"551","1","Official statistics"
"552","1","Official statistics"
"553","1","Official statistics"
"554","1","Official statistics"
"555","1","Official statistics"
"556","1","Official statistics"
"557","1","Official statistics"
"558","1","Other reports and statistics"
"559","1","Official statistics"
"560","1","Official statistics"
"561","1","Official statistics"
"562","1","Official statistics"
"563","1","Official statistics"
"564","1","Official statistics"
"565","1","Official statistics"
"566","1","Official statistics"
"567","1","Official statistics"
"568","1","Official statistics"
"569","1","Official statistics"
"570","1","Official statistics"
"571","1","Official statistics"
"572","1","Official statistics"
"573","1","Official statistics"
"574","1","Official statistics"
"575","1","Official statistics"
"576","1","Official statistics"
"577","1","Official statistics"
"578","1","Official statistics"
"579","1","Official statistics"
"580","1","Official statistics"
"581","1","Official statistics"
"582","1","Official statistics"
"583","1","Audit"
"584","1","Official statistics"
"585","1","Official statistics"
"586","1","Official statistics"
"587","1","Official statistics"
"588","1","Official statistics"
"589","1","Official statistics"
"590","1","Official statistics"
"591","1","Official statistics"
"592","1","Official statistics"
"593","1","Official statistics"
"594","1","Official statistics"
"595","1","Official statistics"
"596","1","Official statistics"
"597","1","Official statistics"
"598","1","Official statistics"
"599","1","Official statistics"
"600","1","Official statistics"
"601","1","Official statistics"
"602","1","Official statistics"
"603","1","Official statistics"
"604","1","Official statistics"
"605","1","Official statistics"
"606","1","Official statistics"
"607","1","Official statistics"
"608","1","Official statistics"
"609","1","Official statistics"
"610","1","Official statistics"
"611","1","Official statistics"
"612","1","Official statistics"
"613","1","Official statistics"
"614","1","Official statistics"
"615","1","Official statistics"
"616","1","Official statistics"
"617","1","Official statistics"
"618","1","Official statistics"
"619","1","Official statistics"
"620","1","Official statistics"
"621","1","Official statistics"
"622","1","Official statistics"
"623","1","Official statistics"
"624","1","Official statistics"
"625","1","Official statistics"
"626","1","Official statistics"
"627","1","Official statistics"
"628","1","Official statistics"
"629","1","Official statistics"
"630","1","Official statistics"
"631","1","Official statistics"
"632","1","Official statistics"
"633","1","Survey|0/Official statistics"
"634","1","Official statistics"
"635","1","Official statistics"
"636","1","Official statistics"
"637","1","Official statistics"
"638","1","Official statistics"
"639","1","Official statistics"
"640","1","Official statistics"
"641","1","Official statistics"
"642","1","Official statistics"
"643","1","Official statistics"
"644","1","Official statistics"
"645","1","Official statistics"
"646","1","Official statistics"
"647","1","Official statistics"
"648","1","Official statistics"
"649","1","Official statistics"
"650","1","Official statistics"
"651","1","Official statistics"
"652","1","Official statistics"
"653","1","Official statistics"
"654","1","Official statistics"
"655","1","Official statistics"
"656","1","Official statistics"
"657","1","Official statistics"
"658","1","Official statistics"
"659","1","Official statistics"
"660","1","Official statistics"
"661","1","Official statistics"
"662","1","Official statistics"
"663","1","Official statistics"
"664","1","Official statistics"
"665","1","Official statistics"
"666","1","Official statistics"
"667","1","Official statistics"
"668","1","Official statistics"
"669","1","Official statistics"
"670","1","Official statistics"
"671","1","Official statistics"
"672","1","Official statistics"
"673","1","Official statistics"
"674","1","Official statistics"
"675","1","Official statistics"
"676","1","Official statistics"
"677","1","Official statistics"
"678","1","Official statistics"
"679","1","Official statistics"
"680","1","Other reports and statistics"
"681","1","Survey|0/Other reports and statistics"
"682","1","Official statistics"
"683","1","Survey"
"684","1","Survey"
"685","1","Survey"
"686","1","Official statistics"
"687","1","Official statistics"
"688","1","Official statistics"
"689","1","Official statistics"
"690","1","Official statistics"
"691","1","Official statistics"
"692","1","Official statistics"
"693","1","Official statistics"
"694","1","Official statistics"
"695","1","Official statistics"
"696","1","Official statistics"
"697","1","Official statistics"
"698","1","Official statistics"
"699","1","Official statistics"
"700","1","Official statistics"
"701","1","Official statistics"
"702","1","Official statistics"
"703","1","Official statistics"
"704","1","Official statistics"
"705","1","Official statistics"
"706","1","Official statistics"
"707","1","Survey|0/Official statistics"
"708","1","Official statistics"
"709","1","Audit"
"710","1","Official statistics"
"711","1","Official statistics"
"712","1","Official statistics"
"713","1","Official statistics"
"714","1","Official statistics"
"715","1","Official statistics"
"716","1","Official statistics"
"717","1","Audit"
"718","1","Audit"
"719","1","Audit"
"720","1","Audit"
"721","1","Audit"
"722","1","Audit"
"723","1","Audit"
"724","1","Audit"
"725","1","Audit"
