"PHEC_result_ID","PHEC_topics_ID","topics"
"1","1","Illnesses and conditions"
"2","1","Public health"
"3","1","Illnesses and conditions"
"4","1","Public health"
"5","1","Public health"
"6","1","Public health"
"7","1","Illnesses and conditions"
"8","1","Public health"
"9","1","Illnesses and conditions"
"10","1","Public health"
"11","1","Public health"
"12","1","Illnesses and conditions"
"13","1","Public health"
"14","1","Public health"
"15","1","Public health"
"16","1","Public health"
"17","1","Public health"
"18","1","Public health"
"19","1","Public health"
"20","1","Public health"
"21","1","Public health"
"22","1","Public health"
"23","1","Public health"
"24","1","Public health"
"25","1","Public health"
"26","1","Public health"
"27","1","Public health"
"28","1","Public health"
"29","1","Public health"
"30","1","Public health"
"31","1","Public health"
"32","1","Public health"
"33","1","Public health"
"34","1","Public health"
"35","1","Public health"
"36","1","Public health"
"37","1","Public health"
"38","1","Public health"
"39","1","Public health"
"40","1","Public health"
"41","1","Public health"
"42","1","Public health"
"43","1","Public health"
"44","1","Public health"
"45","1","Public health"
"46","1","Public health"
"47","1","Public health"
"48","1","Illnesses and conditions"
"49","1","Public health"
"50","1","Public health"
"51","1","Public health"
"52","1","Mental health"
"53","1","Public health"
"54","1","Public health"
"55","1","Public health"
"56","1","Mental health"
"57","1","Public health"
"58","1","Mental health"
"59","1","Public health"
"60","1","Public health"
"61","1","Mental health"
"62","1","Public health"
"63","1","Public health"
"64","1","Mental health"
"65","1","Mental health"
"66","1","Public health"
"67","1","Public health"
"68","1","Mental health"
"69","1","Public health"
"70","1","Public health"
"71","1","Public health"
"72","1","Public health"
"73","1","Public health"
"74","1","Public health"
"75","1","Public health"
"76","1","Public health"
"77","1","Public health"
"78","1","Social care"
"79","1","Public health"
"80","1","Public health"
"81","1","Public health"
"82","1","Social care"
"83","1","Public health"
"84","1","Patient experience"
"85","1","Patient experience"
"86","1","Public health"
"87","1","Social care"
"88","1","Patient experience"
"89","1","Patient experience"
"90","1","Social care"
"91","1","Patient experience"
"92","1","Patient experience"
"93","1","Social care"
"94","1","Social care"
"95","1","Patient experience"
"96","1","Social care"
"97","1","Patient experience"
"98","1","Patient experience"
"99","1","Social care"
"100","1","Social care"
"101","1","Patient experience"
"102","1","Social care"
"103","1","Patient experience"
"104","1","Patient experience"
"105","1","Social care"
"106","1","Patient experience"
"107","1","Social care"
"108","1","Social care"
"109","1","Patient experience"
"110","1","Social care"
"111","1","Social care"
"112","1","Illnesses and conditions"
"113","1","Workforce"
"114","1","Public health"
"115","1","Workforce"
"116","1","Workforce"
"117","1","Public health"
"118","1","Workforce"
"119","1","Workforce"
"120","1","Public health"
"121","1","Workforce"
"122","1","Public health"
"123","1","Public health"
"124","1","Social care"
"125","1","Public health"
"126","1","Public health"
"127","1","Social care"
"128","1","Public health"
"129","1","Workforce"
"130","1","Public health"
"131","1","Social care"
"132","1","Workforce"
"133","1","Workforce"
"134","1","Workforce"
"135","1","Workforce"
"136","1","Workforce"
"137","1","Workforce"
"138","1","Workforce"
"139","1","Workforce"
"140","1","Workforce"
"141","1","Public health"
"142","1","Workforce"
"143","1","Workforce"
"144","1","Public health"
"145","1","Workforce"
"146","1","Workforce"
"147","1","Workforce"
"148","1","Workforce"
"149","1","Workforce"
"150","1","Mental health"
"151","1","Workforce"
"152","1","Workforce"
"153","1","Workforce"
"154","1","Mental health"
"155","1","Workforce"
"156","1","Workforce"
"157","1","Workforce"
"158","1","Workforce"
"159","1","Mental health"
"160","1","Workforce"
"161","1","Mental health"
"162","1","Mental health"
"163","1","Workforce"
"164","1","Workforce"
"165","1","Workforce"
"166","1","Mental health"
"167","1","Workforce"
"168","1","Mental health"
"169","1","Workforce"
"170","1","Mental health"
"171","1","Workforce"
"172","1","Mental health"
"173","1","Mental health"
"174","1","Mental health"
"175","1","Workforce"
"176","1","Mental health"
"177","1","Mental health"
"178","1","Mental health"
"179","1","Workforce"
"180","1","Workforce"
"181","1","Workforce"
"182","1","Workforce"
"183","1","Workforce"
"184","1","Workforce"
"185","1","Primary care services"
"186","1","Workforce"
"187","1","Public health"
"188","1","Public health"
"189","1","Primary care services"
"190","1","Public health"
"191","1","Workforce"
"192","1","Primary care services"
"193","1","Public health"
"194","1","Public health"
"195","1","Public health"
"196","1","Primary care services"
"197","1","Primary care services"
"198","1","Primary care services"
"199","1","Primary care services"
"200","1","Primary care services"
"201","1","Primary care services"
"202","1","Primary care services"
"203","1","Primary care services"
"204","1","Primary care services"
"205","1","Public health"
"206","1","Public health"
"207","1","Primary care services"
"208","1","Public health"
"209","1","Primary care services"
"210","1","Public health"
"211","1","Public health"
"212","1","Primary care services"
"213","1","Public health"
"214","1","Illnesses and conditions"
"215","1","Primary care services"
"216","1","Mental health"
"217","1","Mental health"
"218","1","Primary care services"
"219","1","Primary care services"
"220","1","Public health"
"221","1","Workforce"
"222","1","Primary care services"
"223","1","Public health"
"224","1","Primary care services"
"225","1","Primary care services"
"226","1","Public health"
"227","1","Primary care services"
"228","1","Public health"
"229","1","Primary care services"
"230","1","Primary care services"
"231","1","Public health"
"232","1","Primary care services"
"233","1","Workforce"
"234","1","Public health"
"235","1","Public health"
"236","1","Primary care services"
"237","1","Workforce"
"238","1","Primary care services"
"239","1","Primary care services"
"240","1","Prescribing"
"241","1","Primary care services"
"242","1","Primary care services"
"243","1","Primary care services"
"244","1","Primary care services"
"245","1","Primary care services"
"246","1","Workforce"
"247","1","Primary care services"
"248","1","Workforce"
"249","1","Prescribing"
"250","1","Primary care services"
"251","1","Primary care services"
"252","1",""
"253","1","Primary care services"
"254","1","Primary care services"
"255","1","Primary care services"
"256","1","Prescribing"
"257","1","Workforce"
"258","1","Primary care services"
"259","1",""
"260","1",""
"261","1","Primary care services"
"262","1","Primary care services"
"263","1","Primary care services"
"264","1","Prescribing"
"265","1",""
"266","1","Primary care services"
"267","1","Primary care services"
"268","1","Primary care services"
"269","1","Primary care services"
"270","1","Primary care services"
"271","1",""
"272","1","Prescribing"
"273","1","Prescribing"
"274","1","Primary care services"
"275","1",""
"276","1","Primary care services"
"277","1","Prescribing"
"278","1",""
"279","1","Social care"
"280","1","Primary care services"
"281","1","Primary care services"
"282","1","Primary care services"
"283","1","Primary care services"
"284","1",""
"285","1","Social care"
"286","1","Prescribing"
"287","1","Primary care services"
"288","1","Prescribing"
"289","1",""
"290","1","Social care"
"291","1","Primary care services"
"292","1","Social care"
"293","1",""
"294","1","Primary care services"
"295","1",""
"296","1",""
"297","1","Social care"
"298","1","Social care"
"299","1","Prescribing"
"300","1","Primary care services"
"301","1","Social care"
"302","1","Primary care services"
"303","1","Social care"
"304","1","Primary care services"
"305","1","Social care"
"306","1","Social care"
"307","1","Primary care services"
"308","1","Social care"
"309","1","Primary care services"
"310","1","Primary care services"
"311","1","Primary care services"
"312","1","Primary care services"
"313","1","Primary care services"
"314","1","Primary care services"
"315","1","Social care"
"316","1","Primary care services"
"317","1","Social care"
"318","1","Hospital care"
"319","1","Hospital care"
"320","1","Illnesses and conditions"
"321","1","Primary care services"
"322","1","Hospital care"
"323","1","Hospital care"
"324","1","Social care"
"325","1","Hospital care"
"326","1","Primary care services"
"327","1","Primary care services"
"328","1","Social care"
"329","1","Primary care services"
"330","1","Illnesses and conditions"
"331","1","Primary care services"
"332","1","Primary care services"
"333","1","Workforce"
"334","1","Workforce"
"335","1","Primary care services"
"336","1","Primary care services"
"337","1","Primary care services"
"338","1","Primary care services"
"339","1","Primary care services"
"340","1","Primary care services"
"341","1","Workforce"
"342","1","Workforce"
"343","1","Workforce"
"344","1","Primary care services"
"345","1","Workforce"
"346","1","Primary care services"
"347","1","Workforce"
"348","1","Workforce"
"349","1","Workforce"
"350","1","Primary care services"
"351","1","Workforce"
"352","1","Workforce"
"353","1","Primary care services"
"354","1","Workforce"
"355","1","Primary care services"
"356","1","Workforce"
"357","1","Primary care services"
"358","1","Workforce"
"359","1","Workforce"
"360","1","Primary care services"
"361","1","Workforce"
"362","1","Workforce"
"363","1","Workforce"
"364","1","Workforce"
"365","1","Primary care services"
"366","1","Workforce"
"367","1","Workforce"
"368","1","Workforce"
"369","1","Primary care services"
"370","1","Workforce"
"371","1","Primary care services"
"372","1","Workforce"
"373","1","Workforce"
"374","1","Workforce"
"375","1","Patient experience"
"376","1","Workforce"
"377","1","Hospital care"
"378","1","Workforce"
"379","1","Illnesses and conditions"
"380","1","Illnesses and conditions"
"381","1","Mental health"
"382","1","Mental health"
"383","1","Mental health"
"384","1","Mental health"
"385","1","Illnesses and conditions"
"386","1","Illnesses and conditions"
"387","1","Social care"
"388","1","Social care"
"389","1","Social care"
"390","1","Public health"
"391","1","Social care"
"392","1","Social care"
"393","1","Social care"
"394","1","Illnesses and conditions"
"395","1",""
"396","1","Illnesses and conditions"
"397","1",""
"398","1","Social care"
"399","1",""
"400","1","Workforce"
"401","1","Primary care services"
"402","1","Primary care services"
"403","1","Workforce"
"404","1","Workforce"
"405","1","Public health"
"406","1","Workforce"
"407","1","Workforce"
"408","1","Public health"
"409","1","Social care"
"410","1","Workforce"
"411","1","Social care"
"412","1","Workforce"
"413","1","Prescribing"
"414","1","Prescribing"
"415","1","Prescribing"
"416","1","Prescribing"
"417","1","Prescribing"
"418","1","Prescribing"
"419","1","Prescribing"
"420","1","Workforce"
"421","1","Prescribing"
"422","1","Workforce"
"423","1","Prescribing"
"424","1","Workforce"
"425","1","Workforce"
"426","1","Social care"
"427","1","Primary care services"
"428","1","Social care"
"429","1","Primary care services"
"430","1","Workforce"
"431","1","Workforce"
"432","1","Workforce"
"433","1","Workforce"
"434","1","Patient experience"
"435","1","Workforce"
"436","1","Patient experience"
"437","1","Workforce"
"438","1","Hospital care"
"439","1","Hospital care"
"440","1","Workforce"
"441","1","Workforce"
"442","1","Public health"
"443","1","Social care"
"444","1","Patient experience"
"445","1","Public health"
"446","1","Prescribing"
"447","1","Hospital care"
"448","1","Hospital care"
"449","1","Hospital care"
"450","1","Hospital care"
"451","1","Hospital care"
"452","1","Hospital care"
"453","1","Hospital care"
"454","1","Hospital care"
"455","1","Hospital care"
"456","1","Hospital care"
"457","1","Hospital care"
"458","1","Hospital care"
"459","1","Hospital care"
"460","1","Hospital care"
"461","1","Hospital care"
"462","1","Illnesses and conditions"
"463","1","Illnesses and conditions"
"464","1","Illnesses and conditions"
"465","1","Illnesses and conditions"
"466","1","Illnesses and conditions"
"467","1","Illnesses and conditions"
"468","1","Illnesses and conditions"
"469","1","Illnesses and conditions"
"470","1","Illnesses and conditions"
"471","1","Illnesses and conditions"
"472","1","Illnesses and conditions"
"473","1","Illnesses and conditions"
"474","1","Illnesses and conditions"
"475","1","Illnesses and conditions"
"476","1","Illnesses and conditions"
"477","1","Illnesses and conditions"
"478","1","Illnesses and conditions"
"479","1","Illnesses and conditions"
"480","1","Illnesses and conditions"
"481","1","Illnesses and conditions"
"482","1","Illnesses and conditions"
"483","1","Illnesses and conditions"
"484","1","Illnesses and conditions"
"485","1","Illnesses and conditions"
"486","1","Illnesses and conditions"
"487","1","Illnesses and conditions"
"488","1","Illnesses and conditions"
"489","1","Illnesses and conditions"
"490","1","Illnesses and conditions"
"491","1","Illnesses and conditions"
"492","1","Illnesses and conditions"
"493","1","Illnesses and conditions"
"494","1","Illnesses and conditions"
"495","1","Illnesses and conditions"
"496","1","Illnesses and conditions"
"497","1","Illnesses and conditions"
"498","1","Illnesses and conditions"
"499","1","Illnesses and conditions"
"500","1","Illnesses and conditions"
"501","1","Illnesses and conditions"
"502","1","Illnesses and conditions"
"503","1","Illnesses and conditions"
"504","1","Illnesses and conditions"
"505","1","Illnesses and conditions"
"506","1","Illnesses and conditions"
"507","1","Illnesses and conditions"
"508","1","Illnesses and conditions"
"509","1","Illnesses and conditions"
"510","1","Illnesses and conditions"
"511","1","Illnesses and conditions"
"512","1","Illnesses and conditions"
"513","1","Illnesses and conditions"
"514","1","Hospital care"
"515","1","Illnesses and conditions"
"516","1","Illnesses and conditions"
"517","1","Illnesses and conditions"
"518","1","Illnesses and conditions"
"519","1","Illnesses and conditions"
"520","1","Illnesses and conditions"
"521","1","Illnesses and conditions"
"522","1","Illnesses and conditions"
"523","1","Mental health"
"524","1","Illnesses and conditions"
"525","1","Illnesses and conditions"
"526","1","Illnesses and conditions"
"527","1","Workforce"
"528","1","Workforce"
"529","1","Illnesses and conditions"
"530","1","Public health"
"531","1","Public health"
"532","1","Workforce"
"533","1","Primary care services"
"534","1","Mental health"
"535","1","Mental health"
"536","1","Social care"
"537","1","Social care"
"538","1","Public health"
"539","1","Public health"
"540","1","Hospital care"
"541","1","Public health"
"542","1","Primary care services"
"543","1","Mental health"
"544","1","Workforce"
"545","1","Prescribing"
"546","1","Primary care services"
"547","1","Hospital care"
"548","1","Public health"
"549","1","Hospital care"
"550","1","Hospital care"
"551","1","Hospital care"
"552","1","Patient experience"
"553","1","Patient experience"
"554","1","Patient experience"
"555","1","Patient experience"
"556","1","Patient experience"
"557","1","Patient experience"
"558","1","Patient experience"
"559","1","Patient experience"
"560","1","Patient experience"
"561","1","Hospital care"
"562","1","Patient experience"
"563","1","Patient experience"
"564","1","Patient experience"
"565","1","Public health"
"566","1","Hospital care"
"567","1","Patient experience"
"568","1","Patient experience"
"569","1","Patient experience"
"570","1","Patient experience"
"571","1","Patient experience"
"572","1","Hospital care"
"573","1","Hospital care"
"574","1","Hospital care"
"575","1","Hospital care"
"576","1","Hospital care"
"577","1","Hospital care"
"578","1","Primary care services"
"579","1","Primary care services"
"580","1","Primary care services"
"581","1","Primary care services"
"582","1","Primary care services"
"583","1","Illnesses and conditions"
"584","1",""
"585","1",""
"586","1","Hospital care"
"587","1","Hospital care"
"588","1","Hospital care"
"589","1","Hospital care"
"590","1","Hospital care"
"591","1","Hospital care"
"592","1","Hospital care"
"593","1","Hospital care"
"594","1","Hospital care"
"595","1","Hospital care"
"596","1","Hospital care"
"597","1","Hospital care"
"598","1","Hospital care"
"599","1","Hospital care"
"600","1","Hospital care"
"601","1","Hospital care"
"602","1","Hospital care"
"603","1","Hospital care"
"604","1","Hospital care"
"605","1","Hospital care"
"606","1","Hospital care"
"607","1","Hospital care"
"608","1","Hospital care"
"609","1","Hospital care"
"610","1","Hospital care"
"611","1","Hospital care"
"612","1","Hospital care"
"613","1","Hospital care"
"614","1","Hospital care"
"615","1","Hospital care"
"616","1","Hospital care"
"617","1","Hospital care"
"618","1","Hospital care"
"619","1","Hospital care"
"620","1","Hospital care"
"621","1","Hospital care"
"622","1","Hospital care"
"623","1","Hospital care"
"624","1","Hospital care"
"625","1","Hospital care"
"626","1","Hospital care"
"627","1","Hospital care"
"628","1","Hospital care"
"629","1","Hospital care"
"630","1",""
"631","1","Primary care services"
"632","1",""
"633","1","Illnesses and conditions"
"634","1","Workforce"
"635","1","Hospital care"
"636","1","Public health"
"637","1","Primary care services"
"638","1","Public health"
"639","1","Hospital care"
"640","1","Hospital care"
"641","1","Public health"
"642","1","Social care"
"643","1","Mental health"
"644","1","Workforce"
"645","1","Workforce"
"646","1","Workforce"
"647","1","Workforce"
"648","1","Workforce"
"649","1","Public health"
"650","1","Workforce"
"651","1","Hospital care"
"652","1","Social care"
"653","1","Illnesses and conditions"
"654","1","Primary care services"
"655","1","Primary care services"
"656","1","Primary care services"
"657","1","Primary care services"
"658","1","Primary care services"
"659","1","Primary care services"
"660","1","Primary care services"
"661","1","Primary care services"
"662","1","Primary care services"
"663","1","Primary care services"
"664","1","Primary care services"
"665","1","Primary care services"
"666","1","Primary care services"
"667","1","Primary care services"
"668","1","Primary care services"
"669","1","Primary care services"
"670","1","Primary care services"
"671","1","Primary care services"
"672","1","Primary care services"
"673","1","Social care"
"674","1","Workforce"
"675","1",""
"676","1","Public health"
"677","1","Workforce"
"678","1",""
"679","1","Primary care services"
"680","1","Workforce"
"681","1","Public health"
"682","1","Primary care services"
"683","1","Primary care services"
"684","1","Primary care services"
"685","1","Primary care services"
"686","1","Primary care services"
"687","1","Primary care services"
"688","1","Primary care services"
"689","1","Primary care services"
"690","1","Primary care services"
"691","1","Primary care services"
"692","1","Primary care services"
"693","1","Primary care services"
"694","1","Primary care services"
"695","1","Primary care services"
"696","1","Primary care services"
"697","1","Primary care services"
"698","1","Primary care services"
"699","1","Primary care services"
"700","1","Primary care services"
"701","1","Workforce"
"702","1","Workforce"
"703","1","Workforce"
"704","1","Workforce"
"705","1","Workforce"
"706","1","Workforce"
"707","1","Mental health"
"708","1","Workforce"
"709","1","Illnesses and conditions"
"710","1","Prescribing"
"711","1","Primary care services"
"712","1","Public health"
"713","1","Public health"
"714","1","Hospital care"
"715","1","Hospital care"
"716","1","Mental health"
"717","1","Illnesses and conditions"
"718","1","Illnesses and conditions"
"719","1","Illnesses and conditions"
"720","1","Illnesses and conditions"
"721","1","Illnesses and conditions"
"722","1","Illnesses and conditions"
"723","1","Illnesses and conditions"
"724","1","Illnesses and conditions"
"725","1","Illnesses and conditions"
"726","1","Illnesses and conditions"
"727","1","Illnesses and conditions"
"728","1","Illnesses and conditions"
"729","1","Illnesses and conditions"
"730","1","Illnesses and conditions"
"731","1","Illnesses and conditions"
"732","1","Illnesses and conditions"
"733","1","Illnesses and conditions"
"734","1","Illnesses and conditions"
"735","1","Illnesses and conditions"
"736","1","Illnesses and conditions"
"737","1","Illnesses and conditions"
"738","1","Illnesses and conditions"
"739","1",""
"740","1","Illnesses and conditions"
"741","1","Illnesses and conditions"
"742","1","Illnesses and conditions"
"743","1","Illnesses and conditions"
"744","1","Illnesses and conditions"
"745","1","Illnesses and conditions"
"746","1","Illnesses and conditions"
"747","1","Illnesses and conditions"
"748","1","Illnesses and conditions"
"749","1","Illnesses and conditions"
"750","1","Illnesses and conditions"
"751","1","Illnesses and conditions"
"752","1","Illnesses and conditions"
"753","1","Illnesses and conditions"
"754","1","Public health"
"755","1","Illnesses and conditions"
"756","1","Illnesses and conditions"
"757","1","Illnesses and conditions"
"758","1","Illnesses and conditions"
"759","1","Illnesses and conditions"
"760","1","Illnesses and conditions"
"761","1","Mental health"
"762","1","Illnesses and conditions"
"763","1","Illnesses and conditions"
